day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
26,11.5,163,84,-623.110473632812,164.480651855469,787.591125488281,-176.348033407714,303.451400762687,313.541793106581,98308.4560244898,-177.797158861237,-28744.7294454575,49462.5783243179,-497.696,-74.4211,151.131,156.809
26,12.0,247,0,192.386108398438,723.078857421875,530.692749023438,670.298398840283,670.298398840283,55.4207131311559,3071.45544396588,8.26806586843145,165563.70451355,165563.70451355,664.009,677.39,688.703,699.29
26,12.5,247,0,205.065841674805,727.173156738281,522.107315063477,679.401151402277,679.401151402277,54.5076871621843,2971.08795977055,8.02290179368714,167812.084396362,167812.084396362,676.905,686.843,695.577,704.995
26,13.0,247,0,226.707412719727,737.896484375,511.189071655273,690.233514268389,690.233514268389,53.1653738034205,2826.55697165743,7.70251990151087,170487.678024292,170487.678024292,685.87,698.024,705.877,714.902
26,13.5,247,0,184.436187744141,758.947387695312,574.511199951172,702.484737813231,702.484737813231,60.3028786224539,3636.43717015441,8.58422615844596,173513.730239868,173513.730239868,699.249,710.16,719.844,730.09
26,14.0,205,42,403.003814697266,763.615234375,360.611419677734,543.955890785776,543.955890785776,51.0529544789207,2606.40416102675,9.38549528440105,111510.957611084,111510.957611084,522.255,531.811,540.182,573.448
31,11.5,247,0,224.773468017578,689.181335449219,464.407867431641,631.37243139599,631.37243139599,40.4087001729127,1632.86304966436,6.40013693400699,155948.99055481,155948.99055481,622.486,636.412,646.548,655.06
31,12.0,247,0,194.073226928711,740.5498046875,546.476577758789,687.573195175603,687.573195175603,57.007024696908,3249.80086479387,8.29104815267684,169830.579208374,169830.579208374,681.146,694.862,706.133,716.824
31,12.5,247,0,284.978912353516,711.072143554688,426.093231201172,671.784428276031,671.784428276031,44.0339430791364,1938.98814309663,6.55477281486543,165930.75378418,165930.75378418,669,676.621,684.27,690.831
31,13.0,247,0,279.480407714844,734.681762695312,455.201354980469,693.444876481647,693.444876481647,47.774426390252,2282.3958169176,6.88943389886253,171280.884490967,171280.884490967,688.815,700.305,707.337,716.274
31,13.5,247,0,185.65673828125,774.6953125,589.03857421875,718.605369969418,718.605369969418,61.8378411262658,3823.91859515729,8.60525730957138,177495.526382446,177495.526382446,715.641,726.29,736.008,746.401
31,14.0,247,0,419.959594726562,586.929260253906,166.969665527344,556.75000543633,556.75000543633,28.1770263743336,793.944815299892,5.06098358315256,137517.251342773,137517.251342773,547.956,566.88,574.679,578.401
36,11.5,247,0,255.604156494141,695.585327148438,439.981170654297,640.960348523098,640.960348523098,37.6597598930635,1418.25751520319,5.87552100217107,158317.206085205,158317.206085205,634.988,644.745,652.889,661.632
36,12.0,247,0,315.113342285156,709.930236816406,394.81689453125,667.520610979211,667.520610979211,41.0982761377314,1689.06830149322,6.15685500368936,164877.590911865,164877.590911865,664.905,672.632,678.857,686.956
36,12.5,247,0,319.140167236328,721.174499511719,402.034332275391,689.803046593299,689.803046593299,42.4907191524843,1805.46121409529,6.15983350063926,170381.352508545,170381.352508545,688.046,695.325,700.548,708.466
36,13.0,247,0,309.482971191406,747.440490722656,437.95751953125,705.527750856963,705.527750856963,45.3213559247428,2054.02530285722,6.4237524136639,174265.35446167,174265.35446167,702.206,711.254,719.076,724.068
36,13.5,247,0,265.892181396484,743.449401855469,477.557220458984,691.50246611684,691.50246611684,49.8208390029567,2482.11599895853,7.20472325756517,170801.109130859,170801.109130859,688.791,698.752,707.861,716.672
36,14.0,247,0,437.222503662109,604.95263671875,167.730133056641,578.937762426461,578.937762426461,27.8834736118517,777.488100662827,4.81631626428817,142997.627319336,142997.627319336,576.388,588.495,594.287,598.262
41,11.5,247,0,253.425369262695,701.573547363281,448.148178100586,653.299955051438,653.299955051438,38.4388428512738,1477.54463974492,5.8837969533072,161365.088897705,161365.088897705,647.337,657.382,665.073,672.548
41,12.0,247,0,298.345947265625,717.959167480469,419.613220214844,682.278216404471,682.278216404471,43.013396800633,1850.15230432871,6.30437785736569,168522.719451904,168522.719451904,679.7,687.782,693.824,701.091
41,12.5,247,0,320.035980224609,739.490966796875,419.454986572266,706.329925660662,706.329925660662,43.9191482813326,1928.89158575768,6.21793678644622,174463.491638184,174463.491638184,703.992,712.171,717.792,724.517
41,13.0,247,0,317.539367675781,754.647644042969,437.108276367188,720.823683765736,720.823683765736,46.4790481006041,2160.30191233827,6.44804674810179,178043.449890137,178043.449890137,716.815,726.964,733.627,740.725
41,13.5,247,0,262.009643554688,766.335083007812,504.325439453125,720.490452569506,720.490452569506,51.6401768084802,2666.7078608111,7.16736448405587,177961.141784668,177961.141784668,717.758,727.124,734.224,742.123
41,14.0,247,0,456.809265136719,628.727294921875,171.918029785156,602.413296471723,602.413296471723,25.87545428593,669.539134503255,4.29529932979237,148796.084228516,148796.084228516,598.414,611.024,616.463,621.156
46,11.5,247,0,-1462.54455566406,616.735595703125,2079.28015136719,290.612240536493,435.255732860642,407.860244352462,166349.97892325,140.3451704579,71781.2234125137,107508.166016579,239.968,424.818,515.509,564.149
46,12.0,247,0,387.143035888672,713.697143554688,326.554107666016,679.561890636861,679.561890636861,39.0422897781342,1524.3003911198,5.74521472084686,167851.786987305,167851.786987305,679.074,687.119,693.113,698.573
46,12.5,247,0,380.070251464844,744.469116210938,364.398864746094,713.144921183104,713.144921183104,37.6977931260009,1421.12360657076,5.2861335762527,176146.795532227,176146.795532227,710.881,718.31,724.591,729.999
46,13.0,247,0,-483.249633789062,716.428588867188,1199.67822265625,407.057654175983,462.026497334905,315.004378684897,99227.7585906578,77.385691057098,100543.240581468,114120.544841722,92.4573,557.871,645.449,677.244
46,13.5,247,0,-1695.61401367188,686.795532226562,2382.40954589844,331.874073126055,530.30320685016,506.420604930326,256461.829097998,152.594205434654,81972.8960621357,130984.89209199,230.41,539.388,669.352,676.703
46,14.0,247,0,496.309814453125,647.514404296875,151.20458984375,616.993834707901,616.993834707901,30.8032378925506,948.839464665063,4.99247093889253,152397.477172852,152397.477172852,610.37,627.976,633.877,639.449
51,11.5,247,0,-1238.00988769531,637.768005371094,1875.77789306641,358.307275208384,472.712885821879,370.160335285098,137018.673818376,103.30807128318,88501.8969764709,116760.082798004,309.956,494.871,562.306,591.044
51,12.0,247,0,348.494049072266,747.290283203125,398.796234130859,711.224740711784,711.224740711784,41.1712791971025,1695.07423072577,5.78878613754337,175672.510955811,175672.510955811,708.312,716.813,722.005,728.295
51,12.5,247,0,307.580627441406,777.165100097656,469.58447265625,743.680993084,743.680993084,48.5104451977339,2353.26329328234,6.52301802101517,183689.205291748,183689.205291748,743.224,749.784,755.17,760.756
51,13.0,247,0,-136.244583129883,740.890319824219,877.134902954102,537.819315705705,545.661962130774,230.58365325696,53168.8211493259,42.8738140344397,132841.370979309,134778.504646301,316.568,654.945,709.958,717.599
