fid,DN,1
"1","-38221",5.24448013305664
"2","-35240",5.24448013305664
"3","-27780",5.32365989685059
"4","-26926",5.32365989685059
"5","-25009",5.32365989685059
"6","-20667",5.20396518707275
"7","-23396",5.20396518707275
"8","-20824",5.20396518707275
"9","-12158",5.10492515563965
"10","-4041",5.10492515563965
"11","7319",5.10492515563965
"12","8585",5.09248781204224
"13","3091",5.09248781204224
"14","20519",5.09248781204224
"15","36400",5.12765598297119
"16","30012",5.12765598297119
"17","16594",5.12765598297119
"18","21010",5.2096848487854
"19","28854",5.2096848487854
"20","-32796",5.24448013305664
"21","-30247",5.24448013305664
"22","-10920",5.32365989685059
"23","-12841",5.32365989685059
"24","-15792",5.32365989685059
"25","-8220",5.20396518707275
"26","-14737",5.20396518707275
"27","-15785",5.20396518707275
"28","-4003",5.10492515563965
"29","2704",5.10492515563965
"30","12019",5.10492515563965
"31","14374",5.09248781204224
"32","11025",5.09248781204224
"33","19994",5.09248781204224
"34","39653",5.12765598297119
"35","52156",5.12765598297119
"36","23308",5.12765598297119
"37","24871",5.2096848487854
"38","29447",5.2096848487854
"39","-23648",5.24448013305664
"40","-30385",5.24448013305664
"41","-16874",5.32365989685059
"42","-8287",5.32365989685059
"43","-496",5.32365989685059
"44","-2681",5.20396518707275
"45","-17281",5.20396518707275
"46","-12467",5.20396518707275
"47","-530",5.10492515563965
"48","-308",5.10492515563965
"49","14749",5.10492515563965
"50","24862",5.09248781204224
"51","18853",5.09248781204224
"52","26004",5.09248781204224
"53","43138",5.12765598297119
"54","34651",5.12765598297119
"55","45842",5.12765598297119
"56","45748",5.2096848487854
"57","35812",5.2096848487854
"58","-21870",5.15272951126099
"59","-25134",5.15272951126099
"60","-17235",5.19241333007812
"61","-6055",5.19241333007812
"62","3994",5.19241333007812
"63","-1672",5.16136789321899
"64","-10065",5.16136789321899
"65","152",5.16136789321899
"66","5678",5.12083768844604
"67","11140",5.12083768844604
"68","12895",5.12083768844604
"69","36172",5.10930585861206
"70","29776",5.10930585861206
"71","36970",5.10930585861206
"72","49899",5.12326812744141
"73","53630",5.12326812744141
"74","61196",5.12326812744141
"75","121907",5.16508960723877
"76","59089",5.16508960723877
"77","-25352",5.15272951126099
"78","-17283",5.15272951126099
"79","-12478",5.19241333007812
