fid,DN,1
"1","-38221",8.34266090393066
"2","-35240",8.34266090393066
"3","-27780",8.4694881439209
"4","-26926",8.4694881439209
"5","-25009",8.4694881439209
"6","-20667",8.35787582397461
"7","-23396",8.35787582397461
"8","-20824",8.35787582397461
"9","-12158",8.36575126647949
"10","-4041",8.41287326812744
"11","7319",8.51280879974365
"12","8585",8.61274433135986
"13","3091",8.73558521270752
"14","20519",8.88132953643799
"15","36400",9.02707386016846
"16","30012",9.09354209899902
"17","16594",9.08073425292969
"18","21010",9.06792545318604
"19","28854",9.03780078887939
"20","-32796",8.34266090393066
"21","-30247",8.34266090393066
"22","-10920",8.4694881439209
"23","-12841",8.4694881439209
"24","-15792",8.4694881439209
"25","-8220",8.35787582397461
"26","-14737",8.35787582397461
"27","-15785",8.35787582397461
"28","-4003",8.37929058074951
"29","2704",8.42136287689209
"30","12019",8.50844764709473
"31","14374",8.59553241729736
"32","11025",8.70595836639404
"33","19994",8.83972454071045
"34","39653",8.97349166870117
"35","52156",9.04545593261719
"36","23308",9.0556173324585
"37","24871",9.0657787322998
"38","29447",9.05041790008545
"39","-23648",8.34266090393066
"40","-30385",8.34266090393066
"41","-16874",8.4694881439209
"42","-8287",8.4694881439209
"43","-496",8.4694881439209
"44","-2681",8.35787582397461
"45","-17281",8.35787582397461
"46","-12467",8.35787582397461
"47","-530",8.34954833984375
"48","-308",8.40169811248779
"49","14749",8.46231937408447
"50","24862",8.52293968200684
"51","18853",8.59517002105713
"52","26004",8.67901134490967
"53","43138",8.76285171508789
"54","34651",8.83880805969238
"55","45842",8.90687847137451
"56","45748",8.97494888305664
"57","35812",9.00181484222412
"58","-21870",8.02107810974121
"59","-25134",8.02107810974121
"60","-17235",8.002854347229
"61","-6055",8.002854347229
"62","3994",8.002854347229
"63","-1672",8.09560871124268
"64","-10065",8.09560871124268
"65","152",8.09560871124268
"66","5678",8.39705276489258
"67","11140",8.39705276489258
"68","12895",8.39705276489258
"69","36172",8.45034694671631
"70","29776",8.48438262939453
"71","36970",8.51829719543457
"72","49899",8.66876983642578
"73","53630",8.66876983642578
"74","61196",8.66876983642578
"75","121907",8.96118927001953
"76","59089",8.96118927001953
"77","-25352",8.02107810974121
"78","-17283",8.02107810974121
"79","-12478",8.002854347229
"80","-18002",8.002854347229
"81","4956",8.002854347229
"82","5807",8.09560871124268
"83","-4809",8.09560871124268
"84","160",8.09560871124268
"85","9196",8.39705276489258
"86","12829",8.39705276489258
"87","29360",8.39705276489258
"88","40279",8.44562149047852
"89","37785",8.48172187805176
"90","48990",8.52319812774658
"91","60064",8.66876983642578
"92","56044",8.66876983642578
"93","52026",8.66876983642578
"94","104098",8.96118927001953
"95","105721",8.96118927001953
"96","-18000",8.02107810974121
"97","-14958",8.02107810974121
"98","145",8.002854347229
"99","2930",8.002854347229
"100","1152",8.002854347229
"101","18072",8.09560871124268
"102","6967",8.09560871124268
"103","-323",8.09560871124268
"104","8070",8.39705276489258
"105","18929",8.39705276489258
"106","36648",8.39705276489258
"107","54703",8.50876331329346
"108","45030",8.58718681335449
"109","50079",8.69371128082275
"110","61962",8.66876983642578
"111","76027",8.66876983642578
"112","71829",8.66876983642578
"113","89399",8.96118927001953
"114","85988",8.96118927001953
"115","-5945",7.91676902770996
"116","-21578",7.91676902770996
"117","-10000",7.83473920822144
"118","4099",7.83473920822144
"119","14986",7.83473920822144
"120","16015",8.04935264587402
"121","19925",8.14571380615234
"122","6173",8.24626922607422
"123","15681",8.34682464599609
"124","18063",8.43206310272217
"125","27417",8.50198364257812
"126","36245",8.5719051361084
"127","65137",8.69265174865723
"128","63048",8.86422538757324
"129","64015",9.16659545898438
"130","84861",9.16659545898438
"131","78811",9.16659545898438
"132","84000",9.02299308776855
"133","82000",8.99312210083008
"134","1928",7.91676902770996
"135","-3582",7.91676902770996
"136","3206",7.83473920822144
"137","3266",7.83473920822144
"138","20990",7.83473920822144
"139","31047",8.13792133331299
"140","24017",8.22947597503662
"141","12365",8.30765056610107
"142","23556",8.38582515716553
"143","30282",8.46374607086182
"144","23800",8.54141330718994
"145","38340",8.61908054351807
"146","53822",8.75251770019531
"147","67949",8.941725730896
"148","80014",9.16659545898438
"149","72098",9.16659545898438
"150","90809",9.16659545898438
"151","95533",9.05484390258789
"152","90513",9.00454521179199
"153","14395",8.11308670043945
"154","1000",8.09875202178955
"155","2397",8.28268814086914
"156","20045",8.28268814086914
"157","18084",8.28268814086914
"158","29898",8.47745895385742
"159","46009",8.47745895385742
"160","23156",8.47745895385742
"161","23033",8.44706916809082
"162","28899",8.5031681060791
"163","45276",8.57672882080078
"164","38140",8.65028953552246
"165","53954",8.76678466796875
"166","60214",8.92621231079102
"167","81205",9.08563995361328
"168","89040",9.14124870300293
"169","102063",9.09303951263428
"170","100387",9.04482936859131
"171","101727",9.00170707702637
"172","16220",8.24692630767822
"173","12814",8.25972080230713
"174","2884",8.28268814086914
"175","3001",8.28268814086914
"176","25008",8.28268814086914
"177","44003",8.47745895385742
"178","50825",8.47745895385742
"179","36973",8.47745895385742
"180","32985",8.50831317901611
"181","38410",8.54258918762207
"182","46884",8.61204433441162
"183","55004",8.68149948120117
"184","70959",8.78105068206787
"185","51685",8.91069889068604
"186","72242",9.04034614562988
"187","88327",9.09109973907471
"188","106317",9.06295680999756
"189","111104",9.03481483459473
"190","144157",8.99886894226074
"191","16914",8.27172183990479
"192","20721",8.27707004547119
"193","11442",8.28268814086914
"194","22111",8.28268814086914
"195","25258",8.28268814086914
"196","36023",8.47745895385742
"197","50315",8.47745895385742
"198","45542",8.47745895385742
"199","39635",8.49314212799072
"200","56024",8.52925586700439
"201","45135",8.60000419616699
"202","66532",8.67075347900391
"203","77925",8.75931072235107
"204","63337",8.86567783355713
"205","67053",8.97204399108887
"206","84258",9.01875877380371
"207","101927",9.00582218170166
"208","117952",8.99288558959961
"209","120353",8.96599769592285
"210","32411",8.18747425079346
"211","31681",8.15079879760742
"212","21377",8.11412334442139
"213","31412",8.12767028808594
"214","30000",8.19144058227539
"215","44401",8.25521087646484
"216","52665",8.30998706817627
"217","53360",8.3557710647583
"218","49547",8.40155410766602
"219","63872",8.46316719055176
"220","54120",8.54060935974121
"221","62378",8.61805152893066
"222","90243",8.70156478881836
"223","86857",8.79114818572998
"224","91965",8.8807315826416
"225","94034",8.92422676086426
"226","99773",8.92163467407227
"227","117814",8.91904163360596
"228","126242",8.90309524536133
"229","44364",8.10322666168213
"230","35167",8.02452754974365
"231","32297",7.94582939147949
"232","37466",7.93619108200073
"233","49978",7.99561357498169
"234","45039",8.05503559112549
"235","59816",8.12979125976562
"236","60905",8.21987915039062
"237","73026",8.30996608734131
"238","68563",8.39707851409912
"239","65291",8.48121452331543
"240","85545",8.56535053253174
"241","83456",8.64381885528564
"242","97829",8.71661853790283
"243","88499",8.78941917419434
"244","95880",8.82969570159912
"245","121301",8.83744621276855
"246","130063",8.8451976776123
"247","137066",8.8401927947998
