fid,DN,1
"1","-38221",6.43688631057739
"2","-35240",6.43688631057739
"3","-27780",6.83641910552979
"4","-26926",6.83641910552979
"5","-25009",6.83641910552979
"6","-20667",6.47964763641357
"7","-23396",6.47964763641357
"8","-20824",6.47964763641357
"9","-12158",6.31767654418945
"10","-4041",6.31767654418945
"11","7319",6.31767654418945
"12","8585",6.35810661315918
"13","3091",6.35810661315918
"14","20519",6.35810661315918
"15","36400",6.55966377258301
"16","30012",6.55966377258301
"17","16594",6.55966377258301
"18","21010",6.91725540161133
"19","28854",6.91725540161133
"20","-32796",6.43688631057739
"21","-30247",6.43688631057739
"22","-10920",6.83641910552979
"23","-12841",6.83641910552979
"24","-15792",6.83641910552979
"25","-8220",6.47964763641357
"26","-14737",6.47964763641357
"27","-15785",6.47964763641357
"28","-4003",6.31767654418945
"29","2704",6.31767654418945
"30","12019",6.31767654418945
"31","14374",6.35810661315918
"32","11025",6.35810661315918
"33","19994",6.35810661315918
"34","39653",6.55966377258301
"35","52156",6.55966377258301
"36","23308",6.55966377258301
"37","24871",6.91725540161133
"38","29447",6.91725540161133
"39","-23648",6.43688631057739
"40","-30385",6.43688631057739
"41","-16874",6.83641910552979
"42","-8287",6.83641910552979
"43","-496",6.83641910552979
"44","-2681",6.47964763641357
"45","-17281",6.47964763641357
"46","-12467",6.47964763641357
"47","-530",6.31767654418945
"48","-308",6.31767654418945
"49","14749",6.31767654418945
"50","24862",6.35810661315918
"51","18853",6.35810661315918
"52","26004",6.35810661315918
"53","43138",6.55966377258301
"54","34651",6.55966377258301
"55","45842",6.55966377258301
"56","45748",6.91725540161133
"57","35812",6.91725540161133
"58","-21870",6.48971462249756
"59","-25134",6.48971462249756
"60","-17235",6.58551216125488
"61","-6055",6.58551216125488
"62","3994",6.58551216125488
"63","-1672",6.42045974731445
"64","-10065",6.42045974731445
"65","152",6.42045974731445
"66","5678",6.3249773979187
"67","11140",6.3249773979187
"68","12895",6.3249773979187
"69","36172",6.34156847000122
"70","29776",6.34156847000122
"71","36970",6.34156847000122
"72","49899",6.43824291229248
"73","53630",6.43824291229248
"74","61196",6.43824291229248
"75","121907",6.54375267028809
"76","59089",6.54375267028809
"77","-25352",6.48971462249756
"78","-17283",6.48971462249756
"79","-12478",6.58551216125488
"80","-18002",6.58551216125488
"81","4956",6.58551216125488
"82","5807",6.42045974731445
"83","-4809",6.42045974731445
"84","160",6.42045974731445
"85","9196",6.3249773979187
"86","12829",6.3249773979187
"87","29360",6.3249773979187
"88","40279",6.34156847000122
"89","37785",6.34156847000122
"90","48990",6.34156847000122
"91","60064",6.43824291229248
"92","56044",6.43824291229248
"93","52026",6.43824291229248
"94","104098",6.54375267028809
"95","105721",6.54375267028809
"96","-18000",6.48971462249756
"97","-14958",6.48971462249756
"98","145",6.58551216125488
"99","2930",6.58551216125488
"100","1152",6.58551216125488
"101","18072",6.42045974731445
"102","6967",6.42045974731445
"103","-323",6.42045974731445
"104","8070",6.3249773979187
"105","18929",6.3249773979187
"106","36648",6.3249773979187
"107","54703",6.34156847000122
"108","45030",6.34156847000122
"109","50079",6.34156847000122
"110","61962",6.43824291229248
"111","76027",6.43824291229248
"112","71829",6.43824291229248
"113","89399",6.54375267028809
"114","85988",6.54375267028809
"115","-5945",6.44569253921509
"116","-21578",6.44569253921509
"117","-10000",6.44498062133789
"118","4099",6.44498062133789
"119","14986",6.44498062133789
"120","16015",6.43952703475952
"121","19925",6.43952703475952
"122","6173",6.43952703475952
"123","15681",6.41371393203735
"124","18063",6.41371393203735
"125","27417",6.41371393203735
"126","36245",6.58355712890625
"127","65137",6.58355712890625
"128","63048",6.58355712890625
"129","64015",6.66757488250732
"130","84861",6.66757488250732
"131","78811",6.66757488250732
"132","84000",6.46226739883423
"133","82000",6.46226739883423
"134","1928",6.44569253921509
"135","-3582",6.44569253921509
"136","3206",6.44498062133789
"137","3266",6.44498062133789
"138","20990",6.44498062133789
"139","31047",6.43952703475952
"140","24017",6.43952703475952
"141","12365",6.43952703475952
"142","23556",6.41371393203735
"143","30282",6.41371393203735
"144","23800",6.41371393203735
"145","38340",6.58355712890625
"146","53822",6.58355712890625
"147","67949",6.58355712890625
"148","80014",6.66757488250732
"149","72098",6.66757488250732
"150","90809",6.66757488250732
"151","95533",6.46226739883423
"152","90513",6.46226739883423
"153","14395",6.48251485824585
"154","1000",6.48251485824585
"155","2397",6.43713665008545
"156","20045",6.43713665008545
"157","18084",6.43713665008545
"158","29898",6.4177942276001
"159","46009",6.4177942276001
"160","23156",6.4177942276001
"161","23033",6.52150774002075
"162","28899",6.52150774002075
"163","45276",6.52150774002075
"164","38140",7.022873878479
"165","53954",7.022873878479
"166","60214",7.022873878479
"167","81205",7.25284576416016
"168","89040",7.25284576416016
"169","102063",7.25284576416016
"170","100387",6.68589925765991
"171","101727",6.68589925765991
"172","16220",6.48251485824585
"173","12814",6.48251485824585
"174","2884",6.43713665008545
"175","3001",6.43713665008545
"176","25008",6.43713665008545
"177","44003",6.4177942276001
"178","50825",6.4177942276001
"179","36973",6.4177942276001
"180","32985",6.52150774002075
"181","38410",6.52150774002075
"182","46884",6.52150774002075
"183","55004",7.022873878479
"184","70959",7.022873878479
"185","51685",7.022873878479
"186","72242",7.25284576416016
"187","88327",7.25284576416016
"188","106317",7.25284576416016
"189","111104",6.68589925765991
"190","144157",6.68589925765991
"191","16914",6.48251485824585
"192","20721",6.48251485824585
"193","11442",6.43713665008545
"194","22111",6.43713665008545
"195","25258",6.43713665008545
"196","36023",6.4177942276001
"197","50315",6.4177942276001
"198","45542",6.4177942276001
"199","39635",6.52150774002075
"200","56024",6.52150774002075
"201","45135",6.52150774002075
"202","66532",7.022873878479
"203","77925",7.022873878479
"204","63337",7.022873878479
"205","67053",7.25284576416016
"206","84258",7.25284576416016
"207","101927",7.25284576416016
"208","117952",6.68589925765991
"209","120353",6.68589925765991
"210","32411",6.51206111907959
"211","31681",6.51206111907959
"212","21377",6.42754411697388
"213","31412",6.42754411697388
"214","30000",6.42754411697388
"215","44401",6.36101818084717
"216","52665",6.36101818084717
"217","53360",6.36101818084717
"218","49547",6.37308025360107
"219","63872",6.37308025360107
"220","54120",6.37308025360107
"221","62378",6.69448518753052
"222","90243",6.69448518753052
"223","86857",6.69448518753052
"224","91965",7.07593870162964
"225","94034",7.07593870162964
"226","99773",7.07593870162964
