fid,DN,1
"1","-38221",5.98316764831543
"2","-35240",5.98316764831543
"3","-27780",6.18062019348145
"4","-26926",6.18062019348145
"5","-25009",6.18062019348145
"6","-20667",6.1798300743103
"7","-23396",6.1798300743103
"8","-20824",6.1798300743103
"9","-12158",6.27082300186157
"10","-4041",6.27082300186157
"11","7319",6.27082300186157
"12","8585",6.27520704269409
"13","3091",6.35522556304932
"14","20519",6.51158952713013
"15","36400",6.6679539680481
"16","30012",6.79102563858032
"17","16594",6.88080596923828
"18","21010",6.97058582305908
"19","28854",7.02966260910034
"20","-32796",5.98316764831543
"21","-30247",5.98316764831543
"22","-10920",6.18062019348145
"23","-12841",6.18062019348145
"24","-15792",6.18062019348145
"25","-8220",6.1798300743103
"26","-14737",6.1798300743103
"27","-15785",6.1798300743103
"28","-4003",6.27082300186157
"29","2704",6.27082300186157
"30","12019",6.27082300186157
"31","14374",6.27740335464478
"32","11025",6.36979198455811
"33","19994",6.54738807678223
"34","39653",6.72498369216919
"35","52156",6.86350917816162
"36","23308",6.96296501159668
"37","24871",7.06242036819458
"38","29447",7.12286567687988
"39","-23648",5.98316764831543
"40","-30385",5.98316764831543
"41","-16874",6.18062019348145
"42","-8287",6.18062019348145
"43","-496",6.18062019348145
"44","-2681",6.1798300743103
"45","-17281",6.1798300743103
"46","-12467",6.1798300743103
"47","-530",6.27082300186157
"48","-308",6.27082300186157
"49","14749",6.27082300186157
"50","24862",6.33671522140503
"51","18853",6.44505310058594
"52","26004",6.63443231582642
"53","43138",6.82381153106689
"54","34651",6.97235345840454
"55","45842",7.08005666732788
"56","45748",7.18776035308838
"57","35812",7.24598503112793
"58","-21870",6.02666759490967
"59","-25134",6.02666759490967
"60","-17235",6.15394639968872
"61","-6055",6.15394639968872
"62","3994",6.15394639968872
"63","-1672",6.46363067626953
"64","-10065",6.46363067626953
"65","152",6.46363067626953
"66","5678",6.27340221405029
"67","11140",6.30120515823364
"68","12895",6.34861612319946
"69","36172",6.39602708816528
"70","29776",6.52031373977661
