fid,DN,1
"1","-38221",5.9039478302002
"2","-35240",5.9039478302002
"3","-27780",5.86030101776123
"4","-26926",5.86030101776123
"5","-25009",5.86030101776123
"6","-20667",5.55425214767456
"7","-23396",5.55425214767456
"8","-20824",5.55425214767456
"9","-12158",5.46574878692627
"10","-4041",5.46574878692627
"11","7319",5.46574878692627
"12","8585",5.46649932861328
"13","3091",5.46649932861328
"14","20519",5.46649932861328
"15","36400",5.57825708389282
"16","30012",5.57825708389282
"17","16594",5.57825708389282
"18","21010",5.79605197906494
"19","28854",5.79605197906494
"20","-32796",5.9039478302002
"21","-30247",5.9039478302002
"22","-10920",5.86030101776123
"23","-12841",5.86030101776123
"24","-15792",5.86030101776123
"25","-8220",5.55425214767456
"26","-14737",5.55425214767456
"27","-15785",5.55425214767456
"28","-4003",5.46574878692627
"29","2704",5.46574878692627
"30","12019",5.46574878692627
"31","14374",5.46649932861328
"32","11025",5.46649932861328
"33","19994",5.46649932861328
"34","39653",5.57825708389282
"35","52156",5.57825708389282
"36","23308",5.57825708389282
"37","24871",5.79605197906494
"38","29447",5.79605197906494
"39","-23648",5.9039478302002
"40","-30385",5.9039478302002
"41","-16874",5.86030101776123
"42","-8287",5.86030101776123
"43","-496",5.86030101776123
"44","-2681",5.55425214767456
"45","-17281",5.55425214767456
"46","-12467",5.55425214767456
"47","-530",5.46574878692627
"48","-308",5.46574878692627
"49","14749",5.46574878692627
"50","24862",5.46649932861328
"51","18853",5.46649932861328
"52","26004",5.46649932861328
"53","43138",5.57825708389282
"54","34651",5.57825708389282
"55","45842",5.57825708389282
"56","45748",5.79605197906494
"57","35812",5.79605197906494
"58","-21870",5.81018781661987
"59","-25134",5.81018781661987
"60","-17235",5.64789152145386
"61","-6055",5.64789152145386
"62","3994",5.64789152145386
"63","-1672",5.49267578125
"64","-10065",5.49267578125
"65","152",5.49267578125
"66","5678",5.48534154891968
"67","11140",5.48534154891968
"68","12895",5.48534154891968
"69","36172",5.50180816650391
"70","29776",5.50180816650391
"71","36970",5.50180816650391
"72","49899",5.50640487670898
"73","53630",5.50640487670898
"74","61196",5.50640487670898
"75","121907",5.54725503921509
"76","59089",5.54725503921509
"77","-25352",5.81018781661987
"78","-17283",5.81018781661987
"79","-12478",5.64789152145386
"80","-18002",5.64789152145386
