fid,DN,1
"1","-38221",5.50761890411377
"2","-35240",5.50761890411377
"3","-27780",5.74896574020386
"4","-26926",5.74896574020386
"5","-25009",5.74896574020386
"6","-20667",5.62484169006348
"7","-23396",5.62484169006348
"8","-20824",5.62484169006348
"9","-12158",5.49324798583984
"10","-4041",5.49324798583984
"11","7319",5.49324798583984
"12","8585",5.48694181442261
"13","3091",5.48694181442261
"14","20519",5.48694181442261
"15","36400",5.53948783874512
"16","30012",5.53948783874512
"17","16594",5.53948783874512
"18","21010",5.7226881980896
"19","28854",5.7226881980896
"20","-32796",5.50761890411377
"21","-30247",5.50761890411377
"22","-10920",5.74896574020386
"23","-12841",5.74896574020386
"24","-15792",5.74896574020386
"25","-8220",5.62484169006348
"26","-14737",5.62484169006348
"27","-15785",5.62484169006348
"28","-4003",5.49324798583984
"29","2704",5.49324798583984
"30","12019",5.49324798583984
"31","14374",5.48694181442261
"32","11025",5.48694181442261
"33","19994",5.48694181442261
"34","39653",5.53948783874512
"35","52156",5.53948783874512
"36","23308",5.53948783874512
"37","24871",5.7226881980896
"38","29447",5.7226881980896
"39","-23648",5.50761890411377
"40","-30385",5.50761890411377
"41","-16874",5.74896574020386
"42","-8287",5.74896574020386
"43","-496",5.74896574020386
"44","-2681",5.62484169006348
"45","-17281",5.62484169006348
"46","-12467",5.62484169006348
"47","-530",5.49324798583984
"48","-308",5.49324798583984
"49","14749",5.49324798583984
"50","24862",5.48694181442261
"51","18853",5.48694181442261
"52","26004",5.48694181442261
"53","43138",5.53948783874512
"54","34651",5.53948783874512
"55","45842",5.53948783874512
"56","45748",5.7226881980896
"57","35812",5.7226881980896
"58","-21870",5.57881355285645
"59","-25134",5.57881355285645
"60","-17235",5.60002994537354
"61","-6055",5.60002994537354
"62","3994",5.60002994537354
"63","-1672",5.54354190826416
"64","-10065",5.54354190826416
"65","152",5.54354190826416
"66","5678",5.52729272842407
"67","11140",5.50843334197998
"68","12895",5.48373794555664
"69","36172",5.46671104431152
"70","29776",5.46671104431152
"71","36970",5.46671104431152
"72","49899",5.53360891342163
"73","53630",5.53360891342163
"74","61196",5.53360891342163
"75","121907",5.62259101867676
"76","59089",5.62259101867676
"77","-25352",5.57881355285645
"78","-17283",5.57881355285645
"79","-12478",5.60002994537354
"80","-18002",5.60002994537354
"81","4956",5.60002994537354
"82","5807",5.54354190826416
"83","-4809",5.54354190826416
"84","160",5.54354190826416
"85","9196",5.5309362411499
"86","12829",5.51526689529419
"87","29360",5.48996686935425
"88","40279",5.46671104431152
"89","37785",5.46671104431152
"90","48990",5.46671104431152
"91","60064",5.53360891342163
"92","56044",5.53360891342163
"93","52026",5.53360891342163
"94","104098",5.62259101867676
"95","105721",5.62259101867676
"96","-18000",5.57881355285645
"97","-14958",5.57881355285645
"98","145",5.60002994537354
"99","2930",5.60002994537354
"100","1152",5.60002994537354
"101","18072",5.54354190826416
"102","6967",5.54354190826416
"103","-323",5.54354190826416
"104","8070",5.5369701385498
"105","18929",5.52278757095337
"106","36648",5.50748538970947
"107","54703",5.46671104431152
"108","45030",5.46671104431152
"109","50079",5.46671104431152
"110","61962",5.53360891342163
"111","76027",5.53360891342163
"112","71829",5.53360891342163
"113","89399",5.62259101867676
"114","85988",5.62259101867676
"115","-5945",5.58119058609009
"116","-21578",5.58119058609009
"117","-10000",5.59243249893188
"118","4099",5.59243249893188
"119","14986",5.59243249893188
"120","16015",5.59272766113281
"121","19925",5.59272766113281
"122","6173",5.59272766113281
"123","15681",5.52474308013916
"124","18063",5.52474308013916
"125","27417",5.52474308013916
"126","36245",5.55595350265503
"127","65137",5.55595350265503
"128","63048",5.55595350265503
"129","64015",5.68503141403198
"130","84861",5.68503141403198
"131","78811",5.68503141403198
"132","84000",5.66435670852661
"133","82000",5.66435670852661
"134","1928",5.58119058609009
"135","-3582",5.58119058609009
"136","3206",5.59243249893188
"137","3266",5.59243249893188
"138","20990",5.59243249893188
"139","31047",5.59272766113281
"140","24017",5.59272766113281
"141","12365",5.59272766113281
"142","23556",5.52474308013916
"143","30282",5.52474308013916
"144","23800",5.52474308013916
"145","38340",5.55595350265503
"146","53822",5.55595350265503
"147","67949",5.55595350265503
"148","80014",5.68503141403198
"149","72098",5.68503141403198
"150","90809",5.68503141403198
"151","95533",5.66435670852661
"152","90513",5.66435670852661
"153","14395",5.62560749053955
"154","1000",5.62560749053955
"155","2397",5.69102048873901
"156","20045",5.69102048873901
"157","18084",5.69102048873901
"158","29898",5.68429756164551
"159","46009",5.68429756164551
"160","23156",5.68429756164551
"161","23033",5.68050527572632
"162","28899",5.68050527572632
"163","45276",5.68050527572632
"164","38140",5.86869955062866
"165","53954",5.86869955062866
"166","60214",5.86869955062866
"167","81205",5.99002885818481
"168","89040",5.99002885818481
"169","102063",5.99002885818481
"170","100387",5.79268550872803
"171","101727",5.79268550872803
"172","16220",5.62560749053955
"173","12814",5.62560749053955
"174","2884",5.69102048873901
"175","3001",5.69102048873901
"176","25008",5.69102048873901
"177","44003",5.68429756164551
"178","50825",5.68429756164551
"179","36973",5.68429756164551
"180","32985",5.68050527572632
"181","38410",5.68050527572632
"182","46884",5.68050527572632
"183","55004",5.86869955062866
"184","70959",5.86869955062866
"185","51685",5.86869955062866
"186","72242",5.99002885818481
"187","88327",5.99002885818481
"188","106317",5.99002885818481
"189","111104",5.79268550872803
"190","144157",5.79268550872803
"191","16914",5.62560749053955
"192","20721",5.62560749053955
"193","11442",5.69102048873901
"194","22111",5.69102048873901
"195","25258",5.69102048873901
"196","36023",5.68429756164551
"197","50315",5.68429756164551
"198","45542",5.68429756164551
"199","39635",5.68050527572632
"200","56024",5.68050527572632
"201","45135",5.68050527572632
"202","66532",5.86869955062866
"203","77925",5.86869955062866
"204","63337",5.86869955062866
"205","67053",5.99002885818481
"206","84258",5.99002885818481
"207","101927",5.99002885818481
"208","117952",5.79268550872803
"209","120353",5.79268550872803
"210","32411",5.66836261749268
"211","31681",5.66836261749268
"212","21377",5.69378852844238
"213","31412",5.69378852844238
"214","30000",5.69378852844238
"215","44401",5.69693899154663
"216","52665",5.69693899154663
"217","53360",5.69693899154663
"218","49547",5.74133729934692
"219","63872",5.74133729934692
"220","54120",5.74133729934692
"221","62378",5.83754920959473
"222","90243",5.83754920959473
"223","86857",5.83754920959473
"224","91965",5.92312049865723
"225","94034",5.92312049865723
"226","99773",5.92312049865723
"227","117814",5.77215576171875
"228","126242",5.77215576171875
"229","44364",5.66836261749268
"230","35167",5.66836261749268
"231","32297",5.69378852844238
"232","37466",5.69378852844238
"233","49978",5.69378852844238
"234","45039",5.69693899154663
"235","59816",5.69693899154663
"236","60905",5.69693899154663
"237","73026",5.74133729934692
"238","68563",5.74133729934692
"239","65291",5.74133729934692
"240","85545",5.83754920959473
"241","83456",5.83754920959473
"242","97829",5.83754920959473
"243","88499",5.92312049865723
"244","95880",5.92312049865723
"245","121301",5.92312049865723
"246","130063",5.77215576171875
"247","137066",5.77215576171875
