fid,DN,1
"1","-38221",5.04326248168945
"2","-35240",5.04326248168945
"3","-27780",5.31836223602295
"4","-26926",5.31836223602295
"5","-25009",5.31836223602295
"6","-20667",5.2428150177002
"7","-23396",5.2428150177002
"8","-20824",5.2428150177002
"9","-12158",5.13338899612427
"10","-4041",5.13338899612427
"11","7319",5.13338899612427
"12","8585",5.08817052841187
"13","3091",5.08817052841187
"14","20519",5.08817052841187
"15","36400",5.08719301223755
"16","30012",5.08719301223755
"17","16594",5.08719301223755
"18","21010",5.14340114593506
"19","28854",5.14340114593506
"20","-32796",5.04326248168945
"21","-30247",5.04326248168945
"22","-10920",5.31836223602295
"23","-12841",5.31836223602295
"24","-15792",5.31836223602295
"25","-8220",5.2428150177002
"26","-14737",5.2428150177002
"27","-15785",5.2428150177002
"28","-4003",5.13338899612427
"29","2704",5.13338899612427
"30","12019",5.13338899612427
"31","14374",5.08817052841187
"32","11025",5.08817052841187
"33","19994",5.08817052841187
"34","39653",5.08719301223755
"35","52156",5.08719301223755
"36","23308",5.08719301223755
"37","24871",5.14340114593506
"38","29447",5.14340114593506
"39","-23648",5.04326248168945
"40","-30385",5.04326248168945
"41","-16874",5.31836223602295
"42","-8287",5.31836223602295
"43","-496",5.31836223602295
"44","-2681",5.2428150177002
"45","-17281",5.2428150177002
"46","-12467",5.2428150177002
"47","-530",5.13338899612427
"48","-308",5.13338899612427
"49","14749",5.13338899612427
"50","24862",5.08817052841187
"51","18853",5.08817052841187
"52","26004",5.08817052841187
"53","43138",5.08719301223755
"54","34651",5.08719301223755
"55","45842",5.08719301223755
"56","45748",5.14340114593506
"57","35812",5.14340114593506
"58","-21870",5.11966753005981
"59","-25134",5.11966753005981
"60","-17235",5.22033643722534
"61","-6055",5.22033643722534
"62","3994",5.22033643722534
"63","-1672",5.18963766098022
"64","-10065",5.18963766098022
"65","152",5.18963766098022
"66","5678",5.15451908111572
"67","11140",5.15451908111572
"68","12895",5.15451908111572
"69","36172",5.08963012695312
"70","29776",5.08963012695312
"71","36970",5.08963012695312
"72","49899",5.08232069015503
"73","53630",5.08232069015503
"74","61196",5.08232069015503
"75","121907",5.13220739364624
"76","59089",5.13220739364624
"77","-25352",5.11966753005981
"78","-17283",5.11966753005981
"79","-12478",5.22033643722534
"80","-18002",5.22033643722534
"81","4956",5.22033643722534
"82","5807",5.18963766098022
"83","-4809",5.18963766098022
"84","160",5.18963766098022
"85","9196",5.15451908111572
"86","12829",5.15451908111572
"87","29360",5.15451908111572
"88","40279",5.08963012695312
"89","37785",5.08963012695312
"90","48990",5.08963012695312
"91","60064",5.08232069015503
"92","56044",5.08232069015503
"93","52026",5.08232069015503
"94","104098",5.13220739364624
"95","105721",5.13220739364624
"96","-18000",5.11966753005981
"97","-14958",5.11966753005981
"98","145",5.22033643722534
"99","2930",5.22033643722534
"100","1152",5.22033643722534
"101","18072",5.18963766098022
"102","6967",5.18963766098022
"103","-323",5.18963766098022
"104","8070",5.15451908111572
"105","18929",5.15451908111572
"106","36648",5.15451908111572
"107","54703",5.08963012695312
"108","45030",5.08963012695312
"109","50079",5.08963012695312
"110","61962",5.08232069015503
"111","76027",5.08232069015503
"112","71829",5.08232069015503
"113","89399",5.13220739364624
"114","85988",5.13220739364624
"115","-5945",5.15865564346313
"116","-21578",5.15865564346313
"117","-10000",5.18035364151001
"118","4099",5.18035364151001
"119","14986",5.18035364151001
"120","16015",5.16276741027832
"121","19925",5.16276741027832
"122","6173",5.16276741027832
