day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
03,12.0,676,0,271.156829833984,606.302856445312,335.146026611328,516.679119493834,516.679119493834,77.5297487933088,6010.86194795357,15.0053961672113,349275.084777832,349275.084777832,531.483,551.394,558.484,565.529
03,12.5,676,0,275.171417236328,611.82373046875,336.652313232422,517.121450932068,517.121450932068,90.8732380172024,8257.94538773111,17.5729004962782,349574.100830078,349574.100830078,426.029,565.432,572.418,579.096
03,13.0,676,0,274.726806640625,610.334716796875,335.60791015625,511.060459159535,511.060459159535,89.3137447558751,7976.94500231761,17.4761602380188,345476.870391846,345476.870391846,423.779,562.215,570.236,576.603
03,13.5,676,0,269.760833740234,593.456298828125,323.695465087891,516.47519954704,516.47519954704,78.3952603774265,6145.8168496445,15.1789012223977,349137.234893799,349137.234893799,534.735,547.772,554.04,560.416
03,14.0,676,0,260.121459960938,558.673645019531,298.552185058594,495.995347017367,495.995347017367,66.2623903758417,4390.70437832044,13.3594782237991,335292.85458374,335292.85458374,507.293,515.073,520.594,526.537
03,14.5,676,0,245.114044189453,515.275695800781,270.161651611328,448.25958655995,448.25958655995,62.5388975671623,3911.11370891602,13.9514913773737,303023.480514526,303023.480514526,459.904,467.389,472.743,478.681
03,15.0,676,0,225.266845703125,457.043731689453,231.776885986328,384.909751734085,384.909751734085,54.4470061302376,2964.47647654613,14.1453953517531,260198.992172241,260198.992172241,395.765,406.317,411.811,417.544
03,15.5,676,0,200.979888916016,381.103118896484,180.123229980469,328.209151025355,328.209151025355,35.9981904729053,1295.86971732357,10.968064223817,221869.38609314,221869.38609314,331.435,338.13,342.667,348.258
04,11.5,676,0,262.096496582031,585.381530761719,323.285034179688,509.375060628857,509.375060628857,61.9552254041935,3838.44995488442,12.1629875886946,344337.540985107,344337.540985107,516.456,524.088,530.291,537.899
04,12.0,676,0,271.573883056641,607.824645996094,336.250762939453,539.68419565957,539.68419565957,63.6531354691014,4051.72165504777,11.7945153815943,364826.516265869,364826.516265869,546.85,554.606,560.709,567.555
04,12.5,676,0,275.586181640625,613.371276855469,337.785095214844,546.444286098142,546.444286098142,78.4171898664105,6149.25566654467,14.3504455735725,369396.337402344,369396.337402344,560.638,569.205,575.258,581.572
04,13.0,676,0,275.141845703125,611.860900878906,336.719055175781,547.265027920875,547.265027920875,73.9056966732058,5462.05200075191,13.5045531694182,369951.158874512,369951.158874512,559.952,567.678,573.683,579.793
